intensity,channel,timestamp,azimuth,altitude,distance_m,x,y,z
7,0,3368948289480,148,-2500,0.99600005,0.023314485,0.9023814,-0.42092782
23,1,3368948289480,35588,-100,0.98800004,-0.07097244,0.9852968,-0.017242977
100,2,3368948291784,148,-166,1.0480001,0.027056294,1.0472071,-0.030486884
7,3,3368948291784,35868,-1563,1.0040001,-0.022272557,0.9665748,-0.27065367
9,4,3368948294088,148,-1131,0.92800003,0.02350293,0.9096751,-0.18199685
27,5,3368948294088,35868,0,0.98800004,-0.022760212,0.98773783,0
89,6,3368948296392,428,-66,0.90800005,0.06776003,0.9054065,-0.010570104
8,7,3368948296392,35868,-884,1.0600001,-0.024128592,1.0471221,-0.16295111
22,8,3368948298696,148,-725,0.86,0.022034299,0.8528321,-0.10859067
40,9,3368948298696,35588,33,0.9760001,-0.070119925,0.97346145,0.0056724283
40,10,3368948301000,148,-33,1.0680001,0.027583841,1.0676258,-0.0062071243
9,11,3368948301000,35868,-614,1.056,-0.024186792,1.0496479,-0.11309448
23,12,3368948303304,428,-533,0.88400006,0.0656879,0.87771887,-0.08216257
36,13,3368948303304,35868,133,0.95600003,-0.02201708,0.9554877,0.02223956
40,14,3368948305608,428,66,0.94000006,0.07014804,0.93731505,0.010942619
53,15,3368948305608,35868,-400,1.052,-0.024175523,1.0491589,-0.07338381
29,16,3368948307912,148,-466,0.90400004,0.023271099,0.9007022,-0.07355349
56,17,3368948307912,35588,166,0.96800005,-0.06951691,0.9650899,0.028159639
75,18,3368948310216,148,100,0.99600005,0.025720771,0.9955161,0.017382598
45,19,3368948310216,35588,-366,1.148,-0.08230965,1.1426891,-0.07342326
38,20,3368948312520,428,-333,0.88400006,0.06586189,0.8800436,-0.0513949
49,21,3368948312520,35868,333,0.94400007,-0.021709815,0.94215316,0.05488324
84,22,3368948314824,148,233,0.98800004,0.025496915,0.9868518,0.040218793
61,23,3368948314824,35868,-266,1.052,-0.024208311,1.0505818,-0.048950743
13,24,3368948317128,148,-300,0.92800003,0.023935536,0.926419,-0.048567772
42,25,3368948317128,35868,700,0.91600007,-0.020944286,0.9089311,0.11163233
85,26,3368948319432,148,466,0,0,0,0
41,27,3368948319432,35588,-233,1.072,-0.07695442,1.0683434,-0.043638203
44,28,3368948321736,428,-200,0.87200004,0.06503827,0.8690385,-0.030432362
50,29,3368948321736,35868,1500,0.88000005,-0.019581493,0.8497892,0.22776078
71,30,3368948324040,148,1033,0.98800004,0.02510421,0.97165227,0.17721646
59,31,3368948324040,35868,-133,1.0480001,-0.02413588,1.0474385,-0.024379771
7,0,3368948344776,169,-2500,0.99200004,0.026514806,0.89866626,-0.41923735
21,1,3368948344776,35609,-100,0.98,-0.06681546,0.97757006,-0.017103357
100,2,3368948347080,169,-166,1.0480001,0.030894317,1.0471009,-0.030486884
8,3,3368948347080,35889,-1563,1,-0.018654866,0.96279866,-0.26957536
12,4,3368948349384,169,-1131,0.90000004,0.026027163,0.88213855,-0.17650558
26,5,3368948349384,35889,0,0.99600005,-0.019294543,0.9958132,0
66,6,3368948351688,449,-66,0.90400004,0.07076494,0.9011646,-0.01052354
7,7,3368948351688,35889,-884,1.044,-0.019984,1.0313967,-0.16049147
22,8,3368948353992,169,-725,0.86800003,0.02539398,0.8606781,-0.10960082
37,9,3368948353992,35609,33,0.9760001,-0.06655176,0.9737119,0.0056724283
37,10,3368948356296,169,-33,1.0480001,0.030906875,1.0475266,-0.0060908864
10,11,3368948356296,35889,-614,1.044,-0.020108083,1.0378008,-0.11180932
28,12,3368948358600,449,-533,0.88000005,0.06859268,0.87350184,-0.08179079
38,13,3368948358600,35889,133,0.96800005,-0.018747052,0.96755654,0.022518719
40,14,3368948360904,449,66,0.91600007,0.0717043,0.913127,0.010663233
52,15,3368948360904,35889,-400,1.0480001,-0.020252436,1.045251,-0.07310479
25,16,3368948363208,169,-466,0.87200004,0.025631573,0.8687308,-0.07094982
