intensity,channel,timestamp,azimuth,altitude,distance_m,x,y,z
64,17,3369448461024,35632,166,1.3360001,-0.08571382,1.3326812,0.038864955
32,18,3369448463328,192,100,1.268,0.042476665,1.2670951,0.022129651
6,19,3369448463328,35632,-366,1.432,-0.09172361,1.4261216,-0.0915872
21,20,3369448465632,472,-333,1.292,0.10613418,1.2854404,-0.07511562
78,21,3369448465632,35912,333,1.192,-0.01827651,1.1898434,0.06930172
100,22,3369448467936,192,233,1.312,0.043920882,1.3101766,0.053407952
10,23,3369448467936,35912,-266,1.3240001,-0.020312794,1.32241,-0.06160721
14,24,3369448470240,192,-300,1.2880001,0.04309408,1.2855128,-0.06740872
42,25,3369448470240,35912,700,1.212,-0.018475901,1.2028241,0.14770564
48,26,3369448472544,192,466,0,0,0,0
39,27,3369448472544,35632,-233,1.3560001,-0.08696166,1.3520825,-0.05519907
60,28,3369448474848,472,-200,1.284,0.105591364,1.2788662,-0.044810954
66,29,3369448474848,35912,1500,1.3160001,-0.019523244,1.2710085,0.34060588
34,30,3369448477152,192,1033,1.284,0.04232151,1.2624668,0.23030964
97,31,3369448477152,35912,-133,1.292,-0.019837972,1.2914981,-0.030055976
22,0,3369448497888,212,-2500,2.0440001,0.06852842,1.8512253,-0.8638318
61,1,3369448497888,35652,-100,1.34,-0.08132638,1.3373253,-0.023386225
54,2,3369448500192,212,-166,1.2800001,0.04733041,1.2785827,-0.037235886
10,3,3369448500192,35932,-1563,3.104,-0.035475988,2.9888773,-0.83676195
10,4,3369448502496,212,-1131,1.2880001,0.04672112,1.2621233,-0.2525991
61,5,3369448502496,35932,0,1.304,-0.015476525,1.3039081,0
16,6,3369448504800,492,-66,1.3080001,0.11217263,1.3030922,-0.015226538
4,7,3369448504800,35932,-884,4.644,-0.05446215,4.5884748,-0.71391034
17,8,3369448507104,212,-725,1.2800001,0.046971463,1.2688861,-0.16162334
97,9,3369448507104,35652,33,1.3360001,-0.0810946,1.333514,0.0077647176
49,10,3369448509408,212,-33,1.292,0.04779355,1.291094,-0.007508993
9,11,3369448509408,35932,-614,1.3560001,-0.016001126,1.3481061,-0.1452236
10,12,3369448511712,492,-533,1.292,0.11032836,1.2816676,-0.12008374
60,13,3369448511712,35932,133,1.284,-0.01523503,1.2835621,0.02986987
19,14,3369448514016,492,66,1.3160001,0.11285871,1.3110623,0.015319667
8,15,3369448514016,35932,-400,1.3240001,-0.015675617,1.3206818,-0.092357576
23,16,3369448516320,212,-466,1.264,0.046603534,1.2589469,-0.1028447
69,17,3369448516320,35652,166,1.3360001,-0.08106165,1.3329722,0.038864955
31,18,3369448518624,212,100,1.2720001,0.047047343,1.2709359,0.022199461
6,19,3369448518624,35652,-366,1.432,-0.08674526,1.426433,-0.0915872
21,20,3369448520928,492,-333,1.292,0.110620566,1.2850622,-0.07511562
65,21,3369448520928,35932,333,1.24,-0.014692047,1.2378153,0.07209239
100,22,3369448523232,212,233,1.304,0.048198283,1.3020273,0.05308229
10,23,3369448523232,35932,-266,1.3080001,-0.015507185,1.3064914,-0.060862713
14,24,3369448525536,212,-300,1.292,0.04772886,1.2893463,-0.067618065
41,25,3369448525536,35932,700,1.2080001,-0.014230282,1.1989113,0.14721818
65,26,3369448527840,212,466,1.32,0.04866825,1.314723,0.10740111
34,27,3369448527840,35652,-233,1.3560001,-0.08224176,1.3523778,-0.05519907
77,28,3369448530144,492,-200,1.284,0.110054806,1.2784898,-0.044810954
66,29,3369448530144,35932,1500,1.3160001,-0.015086744,1.2710689,0.34060588
28,30,3369448532448,212,1033,1.2520001,0.045563523,1.230852,0.22456984
100,31,3369448532448,35932,-133,1.284,-0.01523503,1.2835621,-0.02986987
22,0,3369448553184,232,-2500,2.0440001,0.07498998,1.8509747,-0.8638318
60,1,3369448553184,35672,-100,1.3360001,-0.07642857,1.3336083,-0.023316415
54,2,3369448555488,232,-166,1.276,0.05163135,1.2744145,-0.037119523
9,3,3369448555488,35952,-1563,3.0960002,-0.024977308,2.9812794,-0.83460534
10,4,3369448557792,232,-1131,1.296,0.05144402,1.2697906,-0.254168
62,5,3369448557792,35952,0,1.292,-0.010824061,1.2919548,0
14,6,3369448560096,512,-66,1.3160001,0.11743449,1.3106604,-0.015319667
1,7,3369448560096,35952,-884,1.3640001,-0.011291427,1.3477392,-0.20968427
18,8,3369448562400,232,-725,1.276,0.05123978,1.2647494,-0.16111825
83,9,3369448562400,35672,33,1.3360001,-0.076438926,1.333789,0.0077647176
48,10,3369448564704,232,-33,1.2880001,0.052138105,1.2869227,-0.0074857455
9,11,3369448564704,35952,-614,1.32,-0.010995036,1.3123621,-0.1413681
14,12,3369448567008,512,-533,1.2880001,0.11444612,1.2773079,-0.11971197
60,13,3369448567008,35952,133,1.284,-0.010754128,1.2836075,0.02986987
18,14,3369448569312,512,66,1.3240001,0.11814837,1.3186278,0.015412795
10,15,3369448569312,35952,-400,1.3160001,-0.010998271,1.3127483,-0.09179952
22,16,3369448571616,232,-466,1.276,0.051481955,1.2707269,-0.10382107
77,17,3369448571616,35672,166,1.3360001,-0.076407865,1.333247,0.038864955
32,18,3369448573920,232,100,1.276,0.051645346,1.27476,0.02226927
5,19,3369448573920,35672,-366,1.4360001,-0.081993565,1.4307125,-0.09184304
20,20,3369448576224,512,-333,1.3000001,0.11581834,1.2926228,-0.07558073
67,21,3369448576224,35952,333,1.284,-0.010738844,1.2817832,0.0746505
99,22,3369448578528,232,233,1.304,0.052742913,1.3018512,0.05308229
10,23,3369448578528,35952,-266,1.3080001,-0.010946237,1.3065375,-0.060862713
14,24,3369448580832,232,-300,1.284,0.051905822,1.2811892,-0.06719937
37,25,3369448580832,35952,700,1.212,-0.010078155,1.2029238,0.14770564
64,26,3369448583136,232,466,1.3240001,0.053418584,1.3185287,0.107726574
34,27,3369448583136,35672,-233,1.36,-0.07774889,1.3566467,-0.0553619
77,28,3369448585440,512,-200,1.2800001,0.11416015,1.2741162,-0.044671357
68,29,3369448585440,35952,1500,1.3160001,-0.010649456,1.2711139,0.34060588
