intensity,channel,timestamp,azimuth,altitude,distance_m,x,y,z
9,0,3369148406000,187,-2500,1.136,0.033596646,1.0290173,-0.48009437
38,1,3369148406000,35627,-100,1.1800001,-0.076753214,1.1773212,-0.02059384
40,2,3369148408304,187,-166,1.028,0.03353136,1.0270177,-0.02990507
8,3,3369148408304,35907,-1563,1.12,-0.017505867,1.0783948,-0.3019244
8,4,3369148410608,187,-1131,1.12,0.03583795,1.0976653,-0.21965137
41,5,3369148410608,35907,0,1.156,-0.01876318,1.1558478,0
7,6,3369148412912,467,-66,1.2,0.097693376,1.1959351,-0.0139693
9,7,3369148412912,35907,-884,1.144,-0.01834769,1.1302527,-0.17586422
17,8,3369148415216,187,-725,1.148,0.037161544,1.138205,-0.14495592
60,9,3369148415216,35627,33,1.2,-0.07806468,1.1974378,0.006974297
63,10,3369148417520,187,-33,1.0400001,0.033936568,1.0394287,-0.006044391
13,11,3369148417520,35907,-614,1.164,-0.018784368,1.1571529,-0.12466096
12,12,3369148419824,467,-533,1.184,0.09598005,1.1749612,-0.11004578
68,13,3369148419824,35907,133,1.172,-0.019017734,1.1715286,0.0272644
48,14,3369148422128,467,66,1.116,0.090854846,1.1122198,0.01299145
12,15,3369148422128,35907,-400,1.0960001,-0.017745981,1.0931863,-0.0764531
24,16,3369148424432,187,-466,1.0480001,0.034084808,1.0439692,-0.08526998
40,17,3369148424432,35627,166,1.192,-0.07751274,1.1889715,0.03467592
53,18,3369148426736,187,100,1.028,0.033540446,1.0272961,0.017941073
31,19,3369148426736,35627,-366,1.2080001,-0.07842554,1.2029731,-0.07726072
100,20,3369148429040,467,-333,1.1800001,0.095909156,1.1740932,-0.06860405
99,21,3369148429040,35907,333,1.1520001,-0.018666629,1.1499,0.06697616
37,22,3369148431344,187,233,1.056,0.034430686,1.0545628,0.042986885
76,23,3369148431344,35907,-266,1.144,-0.018548297,1.1426104,-0.053231604
30,24,3369148433648,187,-300,1.092,0.035585158,1.0899227,-0.057150867
33,25,3369148433648,35907,700,1.136,-0.01830112,1.127384,0.13844359
36,26,3369148435952,187,466,1.156,0.037597362,1.1515536,0.09405734
86,27,3369148435952,35627,-233,1.22,-0.07930131,1.2164066,-0.04966288
