intensity,channel,timestamp,azimuth,altitude,distance_m,x,y,z
7,0,3368648308184,143,-2500,0.91600007,0.020717602,0.8299194,-0.38711837
10,1,3368648308184,35583,-100,0.76400006,-0.05554672,0.76186144,-0.013333639
19,2,3368648310488,143,-166,0.85200006,0.021253187,0.85137427,-0.024785137
5,3,3368648310488,35863,-1563,0,-0,0,-0
17,4,3368648312792,143,-1131,0,0,0,-0
19,5,3368648312792,35863,0,0.78400004,-0.018744301,0.7837759,0
7,6,3368648315096,423,-66,0.924,0.06814998,0.9214206,-0.010756361
4,7,3368648315096,35863,-884,1.0840001,-0.0256088,1.0708086,-0.16664058
9,8,3368648317400,143,-725,0.90800005,0.022478335,0.900452,-0.11465155
23,9,3368648317400,35583,33,0.74,-0.05380908,0.7380285,0.0043008165
27,10,3368648319704,143,-33,0.86,0.021461468,0.8597177,-0.004998246
6,11,3368648319704,35863,-614,0.99200004,-0.023580872,0.9860127,-0.10624027
23,12,3368648322008,423,-533,0.90000004,0.06609699,0.8936632,-0.083649665
12,13,3368648322008,35863,133,0.75600004,-0.018069971,0.7555794,0.017586933
14,14,3368648324312,423,66,0.94400007,0.06962509,0.9413648,0.010989184
19,15,3368648324312,35863,-400,0.864,-0.020606665,0.861649,-0.06026959
63,16,3368648326616,143,-466,0.93200004,0.02318152,0.92862064,-0.0758317
20,17,3368648326616,35583,166,0.72400004,-0.05262425,0.7217778,0.021061549
27,18,3368648328920,143,100,0.84800005,0.02115914,0.84760684,0.0147996405
11,19,3368648328920,35583,-366,0.81600004,-0.05921494,0.8121736,-0.052189358
15,20,3368648331224,423,-333,0.952,0.070101105,0.9478008,-0.05534835
13,21,3368648331224,35863,333,0.73200005,-0.017471455,0.730553,0.04255777
21,22,3368648333528,143,233,0.81600004,0.020346904,0.8150698,0.033217143
16,23,3368648333528,35863,-266,0.808,-0.019297183,0.8068941,-0.03759715
18,24,3368648335832,143,-300,0.88000005,0.021930845,0.8785203,-0.04605565
11,25,3368648335832,35863,700,0.708,-0.016801078,0.7025218,0.0862835
38,26,3368648338136,143,466,0.84000003,0.020893214,0.83695424,0.068346165
12,27,3368648338136,35583,-233,0.78800005,-0.057252873,0.7852625,-0.03207734
27,28,3368648340440,423,-200,0.94000006,0.06929253,0.9368684,-0.03280553
24,29,3368648340440,35863,1500,0.648,-0.014964836,0.625741,0.16771474
30,30,3368648342744,143,1033,0.708,0.017382026,0.6963007,0.12699316
19,31,3368648342744,35863,-133,0.79200006,-0.018930444,0.7915594,-0.018424407
5,0,3368648363480,163,-2500,0.90000004,0.023201955,0.8153469,-0.38035646
11,1,3368648363480,35603,-100,0.75600004,-0.052332994,0.7540711,-0.01319402
19,2,3368648365784,163,-166,0.864,0.024566106,0.86328495,-0.025134223
6,3,3368648365784,35883,-1563,0.93600005,-0.01840503,0.9011608,-0.25232255
12,4,3368648368088,163,-1131,0.84400004,0.023541389,0.82727504,-0.16552301
16,5,3368648368088,35883,0,0.79200006,-0.016172193,0.79183495,0
7,6,3368648370392,443,-66,0.93600005,0.072292745,0.93314046,-0.010896054
4,7,3368648370392,35883,-884,1.064,-0.021468023,1.0511333,-0.16356602
9,8,3368648372696,163,-725,0.91600007,0.025847103,0.9083008,-0.1156617
23,9,3368648372696,35603,33,0.74,-0.051232357,0.7382119,0.0043008165
23,10,3368648375000,163,-33,0.85200006,0.024234759,0.85164094,-0.004951751
6,11,3368648375000,35883,-614,0.98,-0.019895954,0.9741605,-0.10495511
23,12,3368648377304,443,-533,0.896,0.06890842,0.8894563,-0.08327789
12,13,3368648377304,35883,133,0.75200003,-0.01535126,0.7516398,0.017493881
15,14,3368648379608,443,66,0.94000006,0.07260169,0.93712825,0.010942619
19,15,3368648379608,35883,-400,0.864,-0.017599415,0.8617157,-0.06026959
59,16,3368648381912,163,-466,0.93600005,0.026536273,0.9325192,-0.07615715
19,17,3368648381912,35603,166,0.72400004,-0.050104264,0.72195715,0.021061549
27,18,3368648384216,163,100,0.86,0.024459,0.8595211,0.015009069
12,19,3368648384216,35603,-366,0.84000003,-0.058037564,0.8362688,-0.053724337
14,20,3368648386520,443,-333,0.93600005,0.072175354,0.9316251,-0.054418128
13,21,3368648386520,35883,333,0.73600006,-0.015003283,0.7346019,0.042790323
18,22,3368648388824,163,233,0.832,0.023646649,0.830974,0.033868458
18,23,3368648388824,35883,-266,0.82000005,-0.016725801,0.8189411,-0.038155522
21,24,3368648391128,163,-300,0.892,0.025338193,0.8904171,-0.046683677
9,25,3368648391128,35883,700,0.716,-0.0145113375,0.7105149,0.08725846
38,26,3368648393432,163,466,0.82800007,0.023474397,0.82492083,0.06736979
11,27,3368648393432,35603,-233,0.78800005,-0.054511238,0.7854576,-0.03207734
25,28,3368648395736,443,-200,0.93600005,0.07225361,0.9326352,-0.03266593
22,29,3368648395736,35883,1500,0.652,-0.012859825,0.6296523,0.16875002
25,30,3368648398040,163,1033,0.716,0.020036332,0.7041028,0.12842812
19,31,3368648398040,35883,-133,0.78800005,-0.01608616,0.7876225,-0.018331354
7,0,3368648418776,185,-2500,0.90400004,0.026449516,0.8188752,-0.38204694
11,1,3368648418776,35625,-100,0.75200003,-0.04917579,0.75027573,-0.01312421
22,2,3368648421080,185,-166,0.864,0.027880691,0.8631843,-0.025134223
6,3,3368648421080,35905,-1563,0.92800003,-0.014816741,0.89352196,-0.25016594
13,4,3368648423384,185,-1131,0.84400004,0.026717715,0.8271786,-0.16552301
17,5,3368648423384,35905,0,0.79200006,-0.013131458,0.7918912,0
7,6,3368648425688,465,-66,0.94000006,0.076199464,0.93684256,-0.010942619
4,7,3368648425688,35905,-884,1.016,-0.01664517,1.0037851,-0.1561871
9,8,3368648427992,185,-725,0.91200006,0.029206427,0.9042289,-0.11515663
25,9,3368648427992,35625,33,0.744,-0.04865923,0.7423945,0.004324064
23,10,3368648430296,185,-33,0.86800003,0.028021153,0.8675329,-0.0050447416
6,11,3368648430296,35905,-614,0.98800004,-0.016286947,0.9821826,-0.10581189
23,12,3368648432600,465,-533,0.88400006,0.07135456,0.8772764,-0.08216257
12,13,3368648432600,35905,133,0.75600004,-0.012531183,0.7556916,0.017586933
14,14,3368648434904,465,66,0.9480001,0.07684797,0.9448157,0.011035748
18,15,3368648434904,35905,-400,0.86,-0.0142241735,0.85778725,-0.059990566
51,16,3368648437208,185,-466,0.93200004,0.02998798,0.9284258,-0.0758317
19,17,3368648437208,35625,166,0.72,-0.047070447,0.71815443,0.020945186
27,18,3368648439512,185,100,0.85600007,0.027630024,0.85542357,0.014939261
11,19,3368648439512,35625,-366,0.84400004,-0.05508737,0.8404687,-0.053980168
14,20,3368648441816,465,-333,0.90000004,0.072838455,0.8955203,-0.052325122
11,21,3368648441816,35905,333,0.73600006,-0.012182331,0.7346541,0.042790323
18,22,3368648444120,185,233,0.82000005,0.026450101,0.8188933,0.033379972
18,23,3368648444120,35905,-266,0.82000005,-0.013580976,0.8189993,-0.038155522
34,24,3368648446424,185,-300,0.924,0.029788591,0.9222527,-0.048358425
9,25,3368648446424,35905,700,0.72,-0.011848707,0.714535,0.087745935
38,26,3368648448728,185,466,0.84800005,0.0272852,0.8447479,0.06899708
12,27,3368648448728,35625,-233,0.79200006,-0.05175648,0.78964925,-0.032240167
23,28,3368648451032,465,-200,0.94400007,0.07648228,0.9403197,-0.032945126
24,29,3368648451032,35905,1500,0.652,-0.01044189,0.6296971,0.16875002
20,30,3368648453336,185,1033,0.708,0.022485662,0.69615453,0.12699316
19,31,3368648453336,35905,-133,0.79600006,-0.013194208,0.7956753,-0.018517459
7,0,3368648474072,205,-2500,0.92,0.029826486,0.83326954,-0.38880882
10,1,3368648474072,35645,-100,0.76400006,-0.047299627,0.7624179,-0.013333639
48,2,3368648476376,205,-166,0,0,0,-0
6,3,3368648476376,35925,-1563,0.92,-0.0115966,0.8858651,-0.24800934
15,4,3368648478680,205,-1131,0.84000003,0.029464636,0.8231604,-0.16473854
16,5,3368648478680,35925,0,0.78800005,-0.010314594,0.7879326,0
8,6,3368648480984,485,-66,0.93600005,0.07913102,0.9325854,-0.010896054
7,7,3368648480984,35925,-884,1,-0.012933993,0.98802865,-0.15372746
9,8,3368648483288,205,-725,0.90800005,0.032220658,0.900156,-0.11465155
22,9,3368648483288,35645,33,0.74,-0.04581998,0.73856765,0.0043008165
27,10,3368648485592,205,-33,0.87200004,0.031192323,0.87142724,-0.005067989
6,11,3368648485592,35925,-614,0.9760001,-0.012701959,0.9703036,-0.10452672
28,12,3368648487896,485,-533,0.8880001,0.07475312,0.88099045,-0.08253434
12,13,3368648487896,35925,133,0.76400006,-0.009997738,0.76372784,0.017773038
15,14,3368648490200,485,66,0.93600005,0.07913102,0.9325854,0.010896054
18,15,3368648490200,35925,-400,0.86,-0.011229622,0.85783166,-0.059990566
55,16,3368648492504,205,-466,0.93200004,0.03322861,0.9283154,-0.0758317
19,17,3368648492504,35645,166,0.73200005,-0.045306213,0.7302863,0.021294273
27,18,3368648494808,205,100,0.86,0.030758906,0.85931873,0.015009069
11,19,3368648494808,35645,-366,0.82800007,-0.05116474,0.8247193,-0.05295685
13,20,3368648497112,485,-333,0.8880001,0.07495111,0.8833238,-0.051627457
11,21,3368648497112,35925,333,0.748,-0.009774448,0.74667084,0.043487992
15,22,3368648499416,205,233,0.836,0.029880285,0.83477247,0.034031287
20,23,3368648499416,35925,-266,0.82000005,-0.010721834,0.8190417,-0.038155522
28,24,3368648501720,205,-300,0.896,0.03200744,0.8941994,-0.04689302
9,25,3368648501720,35925,700,0.712,-0.009250317,0.7066323,0.086770974
33,26,3368648504024,205,466,0.85200006,0.03037637,0.84863174,0.069322534
11,27,3368648504024,35645,-233,0.79200006,-0.04899994,0.7898251,-0.032240167
100,28,3368648506328,485,-200,0.94000006,0.07942616,0.93606377,-0.03280553
24,29,3368648506328,35925,1500,0.66,-0.0083447555,0.6374565,0.17082058
20,30,3368648508632,205,1033,0.716,0.02519709,0.703937,0.12842812
22,31,3368648508632,35925,-133,0.804,-0.010521179,0.8037136,-0.018703563
7,0,3368648529368,225,-2500,0.924,0.032877285,0.83678275,-0.3904993
10,1,3368648529368,35665,-100,0.76400006,-0.0446378,0.76257837,-0.013333639
94,2,3368648531672,225,-166,0.87600005,0.034377046,0.8749542,-0.02548331
8,3,3368648531672,35945,-1563,0.924,-0.008541445,0.8897519,-0.24908763
