intensity,channel,timestamp,azimuth,altitude,distance_m,x,y,z
7,0,3369048264296,141,-2500,1.056,0.02355007,0.9567712,-0.4462849
39,1,3369048264296,35581,-100,1.1320001,-0.082696214,1.1288025,-0.019756125
29,2,3369048266600,141,-166,0.96400005,0.02371078,0.96330035,-0.028043278
8,3,3369048266600,35861,-1563,1.0600001,-0.024761518,1.0204577,-0.28574988
10,4,3369048268904,141,-1131,1.072,0.02586608,1.050864,-0.21023774
85,5,3369048268904,35861,0,1.128,-0.027362987,1.1276681,0
66,6,3369048271208,421,-66,0.98800004,0.0725264,0.98526734,-0.0115013905
8,7,3369048271208,35861,-884,1.0960001,-0.026270706,1.0826536,-0.1684853
12,8,3369048273512,141,-725,1.0480001,0.025581377,1.0392972,-0.1323291
60,9,3369048273512,35581,33,1.148,-0.083876416,1.1449124,0.0066720773
19,10,3369048275816,141,-33,0.984,0.024212543,0.9836855,-0.005718923
12,11,3369048275816,35861,-614,1.1120001,-0.026819719,1.1052792,-0.11909193
23,12,3369048278120,421,-533,0.984,0.07192498,0.977097,-0.091456965
31,13,3369048278120,35861,133,1.0760001,-0.026094511,1.0753924,0.025031138
68,14,3369048280424,421,66,0.97200006,0.071351886,0.96931165,0.011315133
42,15,3369048280424,35861,-400,1.092,-0.026425174,1.0890194,-0.076174065
63,16,3369048282728,141,-466,0.94000006,0.02305357,0.9365998,-0.07648261
42,17,3369048282728,35581,166,1.08,-0.07887606,1.0766577,0.03141778
22,18,3369048285032,141,100,1.1040001,0.027161615,1.1034977,0.019267458
40,19,3369048285032,35581,-366,1.184,-0.08633103,1.1784178,-0.075725734
47,20,3369048287336,421,-333,0.95600003,0.07006341,0.95180774,-0.055580907
81,21,3369048287336,35861,333,1.0600001,-0.025669951,1.0578957,0.061627366
90,22,3369048289640,141,233,1.072,0.026356472,1.0707871,0.043638203
61,23,3369048289640,35861,-266,1.1,-0.026654862,1.0984852,-0.051184237
36,24,3369048291944,141,-300,0.94000006,0.02309856,0.93842757,-0.049195804
53,25,3369048291944,35861,700,1.0400001,-0.02504024,1.0319443,0.12674414
32,26,3369048294248,141,466,1.088,0.026683278,1.0840644,0.08852455
46,27,3369048294248,35581,-233,1.184,-0.08643644,1.1798568,-0.04819742
36,28,3369048296552,421,-200,0.9480001,0.06955244,0.9448661,-0.033084724
61,29,3369048296552,35861,1500,1.008,-0.023618849,0.97336674,0.2608896
47,30,3369048298856,141,1033,1.064,0.025756866,1.0464269,0.19084848
66,31,3369048298856,35861,-133,1.108,-0.026870556,1.1073743,-0.025775557
7,0,3369048319592,159,-2500,1.064,0.026756918,0.9639402,-0.44966584
38,1,3369048319592,35599,-100,1.1320001,-0.07914979,1.1290568,-0.019756125
32,2,3369048321896,159,-166,0.96000004,0.026626015,0.9592243,-0.027926914
7,3,3369048321896,35879,-1563,1.064,-0.021637073,1.0243815,-0.2868282
8,4,3369048324200,159,-1131,1.064,0.028949669,1.0429358,-0.20866881
77,5,3369048324200,35879,0,1.1320001,-0.023904867,1.1317477,0
66,6,3369048326504,439,-66,0.99200004,0.0759275,0.9890226,-0.011547955
8,7,3369048326504,35879,-884,1.0840001,-0.022619132,1.070876,-0.16664058
13,8,3369048328808,159,-725,0.96000004,0.026424084,0.9519496,-0.1212175
64,9,3369048328808,35599,33,1.1520001,-0.080559105,1.1491604,0.006695325
27,10,3369048331112,159,-33,0.984,0.027302759,0.98360455,-0.005718923
12,11,3369048331112,35879,-614,1.092,-0.022927543,1.0854774,-0.116949975
28,12,3369048333416,439,-533,0.9760001,0.07438455,0.9689242,-0.09071342
36,13,3369048333416,35879,133,1.08,-0.02280059,1.0794669,0.02512419
54,14,3369048335720,439,66,0.96800005,0.07409055,0.9650946,0.011268569
37,15,3369048335720,35879,-400,1.088,-0.022919737,1.0851078,-0.07589504
38,16,3369048338024,159,-466,0.952,0.026327727,0.9484782,-0.077458985
42,17,3369048338024,35599,166,1.0680001,-0.07465466,1.0649346,0.031068694
100,18,3369048340328,159,100,1.0960001,0.030406272,1.0954112,0.019127838
37,19,3369048340328,35599,-366,1.1800001,-0.08234958,1.1747013,-0.0754699
47,20,3369048342632,439,-333,0.96000004,0.07335891,0.95556444,-0.055813465
100,21,3369048342632,35879,333,1.0760001,-0.022683859,1.0739405,0.06255759
88,22,3369048344936,159,233,1.0760001,0.029831216,1.0746943,0.043801036
68,23,3369048344936,35879,-266,1.092,-0.023035193,1.090574,-0.050811987
36,24,3369048347240,159,-300,0.94000006,0.026046598,0.9383504,-0.049195804
53,25,3369048347240,35879,700,1.036,-0.021714527,1.0280486,0.12625664
32,26,3369048349544,159,466,1.088,0.03008883,1.0839751,0.08852455
36,27,3369048349544,35599,-233,1.164,-0.08133217,1.160188,-0.047383275
36,28,3369048351848,439,-200,0.95600003,0.073132455,0.9526146,-0.03336392
58,29,3369048351848,35879,1500,1.0120001,-0.020642592,0.97729903,0.2619249
47,30,3369048354152,159,1033,1.08,0.029480942,1.0620754,0.19371839
69,31,3369048354152,35879,-133,1.108,-0.023391718,1.1074532,-0.025775557
7,0,3369048374888,179,-2500,1.0680001,0.030234775,0.96746445,-0.45135635
39,1,3369048374888,35619,-100,1.1240001,-0.07467635,1.121345,-0.019616505
32,2,3369048377192,179,-166,0.952,0.029724386,0.9511328,-0.02769419
8,3,3369048377192,35899,-1563,1.052,-0.017857214,1.0128968,-0.2835933
8,4,3369048379496,179,-1131,1.0680001,0.03271254,1.046749,-0.20945328
72,5,3369048379496,35899,0,1.1240001,-0.019812867,1.1238254,0
66,6,3369048381800,459,-66,1,0.080019526,0.9967253,-0.011641083
8,7,3369048381800,35899,-884,1.0760001,-0.018741315,1.0630448,-0.16541076
22,8,3369048384104,179,-725,0.96800005,0.02999474,0.9597837,-0.12222765
66,9,3369048384104,35619,33,1.148,-0.0762812,1.1454434,0.0066720773
34,10,3369048386408,179,-33,0.98,0.03061107,0.9795053,-0.0056956755
13,11,3369048386408,35899,-614,1.088,-0.01906799,1.0815744,-0.11652159
38,12,3369048388712,459,-533,0.96800005,0.07712884,0.9607188,-0.089969866
