intensity,channel,timestamp,azimuth,altitude,distance_m,x,y,z
7,0,3368848314664,158,-2500,0.94400007,0.023589956,0.85522926,-0.39895168
21,1,3368848314664,35598,-100,0.88000005,-0.06168305,0.8777013,-0.015358118
46,2,3368848316968,158,-166,1.0040001,0.027671285,1.0031936,-0.0292069
8,3,3368848316968,35878,-1563,0.96800005,-0.019847058,0.9319527,-0.26094896
22,4,3368848319272,158,-1131,0.836,0.022603147,0.8194536,-0.16395406
24,5,3368848319272,35878,0,0.8880001,-0.018906746,0.8877988,0
100,6,3368848321576,438,-66,1,0.07636581,0.9970119,-0.011641083
5,7,3368848321576,35878,-884,1.028,-0.021627367,1.0155501,-0.15803182
13,8,3368848323880,158,-725,0.84000003,0.022975694,0.83295995,-0.10606531
87,9,3368848323880,35598,33,0.90000004,-0.063093476,0.8977705,0.0052307225
65,10,3368848326184,158,-33,0.93200004,0.02569733,0.93162996,-0.005416704
4,11,3368848326184,35878,-614,1.0400001,-0.022015683,1.0337843,-0.111380935
33,12,3368848328488,438,-533,0.84400004,0.06417811,0.8378924,-0.0784448
25,13,3368848328488,35878,133,0.86800003,-0.018475916,0.86756843,0.020192405
95,14,3368848330792,438,66,0.96800005,0.07392211,0.96510756,0.011268569
45,15,3368848330792,35878,-400,1.0120001,-0.02149439,1.0093061,-0.07059355
12,16,3368848333096,158,-466,0.9480001,0.026052263,0.9444977,-0.07713353
34,17,3368848333096,35598,166,0.84800005,-0.059423923,0.84555566,0.024668775
40,18,3368848335400,158,100,0.952,0.02624522,0.95149314,0.01661469
56,19,3368848335400,35598,-366,1.088,-0.076118134,1.0831012,-0.06958581
38,20,3368848337704,438,-333,0.84400004,0.06434809,0.8401117,-0.049069338
48,21,3368848337704,35878,333,0.94400007,-0.020065065,0.94218963,0.05488324
27,22,3368848340008,158,233,0.91200006,0.025125468,0.9108977,0.03712504
68,23,3368848340008,35878,-266,1.016,-0.021608612,1.0146695,-0.04727562
70,24,3368848342312,158,-300,0.99200004,0.02731464,0.9902639,-0.051917274
24,25,3368848342312,35878,700,0.81600004,-0.017244264,0.8097341,0.099445395
33,26,3368848344616,158,466,0.90000004,0.02473316,0.896675,0.07322803
17,27,3368848344616,35598,-233,0.91600007,-0.064163,0.912989,-0.03728787
22,28,3368848346920,438,-200,0.864,0.065944344,0.86095196,-0.030153165
32,29,3368848346920,35878,1500,0.78800005,-0.016205924,0.760977,0.20394942
35,30,3368848349224,158,1033,0.924,0.02506399,0.9086688,0.16573684
33,31,3368848349224,35878,-133,0.896,-0.019071914,0.8955545,-0.020843772
7,0,3368848369960,178,-2500,0.9480001,0.026687725,0.8587652,-0.40064216
20,1,3368848369960,35618,-100,0.87600005,-0.05835224,0.87392074,-0.015288308
45,2,3368848372264,178,-166,1.008,0.03129711,1.0070872,-0.02932326
8,3,3368848372264,35898,-1563,0.97200006,-0.01666258,0.9358676,-0.26202726
26,4,3368848374568,178,-1131,0.82400006,0.025097933,0.8076084,-0.16160066
24,5,3368848374568,35898,0,0.8880001,-0.015807822,0.88785934,0
89,6,3368848376872,458,-66,1,0.07984557,0.99673927,-0.011641083
7,7,3368848376872,35898,-884,1.008,-0.017730718,0.9958604,-0.15495728
19,8,3368848379176,178,-725,0.832,0.025636623,0.8249425,-0.10505516
71,9,3368848379176,35618,33,0.90400004,-0.060225535,0.9019764,0.0052539706
58,10,3368848381480,178,-33,0.93600005,0.029073413,0.93553257,-0.0054399516
6,11,3368848381480,35898,-614,1.024,-0.018123997,1.0179492,-0.109667376
33,12,3368848383784,458,-533,0.84000003,0.06678448,0.83369327,-0.078073025
25,13,3368848383784,35898,133,0.864,-0.01537642,0.8636293,0.020099351
95,14,3368848386088,458,66,0.96400005,0.07697113,0.9608567,0.011222005
50,15,3368848386088,35898,-400,1.008,-0.017900303,1.0053853,-0.07031453
12,16,3368848388392,178,-466,0.9480001,0.029349016,0.94440097,-0.07713353
33,17,3368848388392,35618,166,0.84800005,-0.056471795,0.84575796,0.024668775
24,18,3368848390696,178,100,0.93600005,0.029069478,0.9354059,0.016335452
55,19,3368848390696,35618,-366,1.0840001,-0.07207071,1.0793774,-0.069329984
38,20,3368848393000,458,-333,0.84400004,0.06728023,0.8398819,-0.049069338
100,21,3368848393000,35898,333,0.952,-0.016918456,0.95023906,0.05534835
60,22,3368848395304,178,233,0,0,0,0
64,23,3368848395304,35898,-266,1.028,-0.018280223,1.0267239,-0.047833994
76,24,3368848397608,178,-300,0.984,0.030522984,0.98217726,-0.051498584
23,25,3368848397608,35898,700,0.81200004,-0.014347155,0.80581975,0.09895792
33,26,3368848399912,178,466,0.91600007,0.028358331,0.9125225,0.074529864
18,27,3368848399912,35618,-233,0.91600007,-0.060975436,0.9132074,-0.03728787
29,28,3368848402216,458,-200,0.85200006,0.0679916,0.84876215,-0.029734373
34,29,3368848402216,35898,1500,0.79600006,-0.013687241,0.7687552,0.20601997
29,30,3368848404520,178,1033,0.93200004,0.028480146,0.9164423,0.16717179
30,31,3368848404520,35898,-133,0.90000004,-0.016017105,0.8996139,-0.020936824
7,0,3368848425256,198,-2500,0.952,0.029810466,0.86228985,-0.4023326
21,1,3368848425256,35638,-100,0.88000005,-0.05555362,0.87811047,-0.015358118
46,2,3368848427560,198,-166,1,0.03453602,0.99898,-0.029090535
8,3,3368848427560,35918,-1563,0.96000004,-0.013230508,0.9243655,-0.25879234
22,4,3368848429864,198,-1131,0.84400004,0.028594455,0.82711583,-0.16552301
24,5,3368848429864,35918,0,0.8880001,-0.012708706,0.8879091,0
44,6,3368848432168,478,-66,0.96800005,0.080657974,0.96456796,-0.011268569
8,7,3368848432168,35918,-884,0.99200004,-0.014028355,0.980108,-0.15249765
32,8,3368848434472,198,-725,0,0,0,-0
71,9,3368848434472,35638,33,0.90400004,-0.057076447,0.9021811,0.0052539706
46,10,3368848436776,198,-33,0.94000006,0.032477055,0.93942297,-0.005463199
7,11,3368848436776,35918,-614,1.0120001,-0.014400045,1.0060767,-0.10838222
33,12,3368848439080,478,-533,0.84800005,0.07035796,0.8413928,-0.07881658
23,13,3368848439080,35918,133,0.88000005,-0.012590804,0.8796719,0.020471562
68,14,3368848441384,478,66,0.97200006,0.080991276,0.96855384,0.011315133
57,15,3368848441384,35918,-400,1,-0.014276742,0.9974619,-0.06975647
12,16,3368848443688,198,-466,0.92,0.0316812,0.9164022,-0.07485532
31,17,3368848443688,35638,166,0.84400004,-0.053266536,0.8419596,0.024552412
89,18,3368848445992,198,100,0.94400007,0.03261084,0.94329274,0.016475072
57,19,3368848445992,35638,-366,1.088,-0.06855429,1.0836061,-0.06958581
38,20,3368848448296,478,-333,0.84400004,0.07021155,0.8396419,-0.049069338
93,21,3368848448296,35918,333,0.94000006,-0.013430153,0.93831396,0.054650683
87,22,3368848450600,198,233,0.94000006,0.032450683,0.93866014,0.038264845
68,23,3368848450600,35918,-266,1.024,-0.01463921,1.0227861,-0.04764787
65,24,3368848452904,198,-300,0.98,0.033813223,0.97807264,-0.05128924
22,25,3368848452904,35918,700,0.81200004,-0.011534401,0.80586493,0.09895792
38,26,3368848455208,198,466,0.90400004,0.031130223,0.90046483,0.07355349
18,27,3368848455208,35638,-233,0.91200006,-0.05753479,0.909426,-0.03712504
36,28,3368848457512,478,-200,0.85200006,0.07095391,0.8485196,-0.029734373
50,29,3368848457512,35918,1500,0.804,-0.011114454,0.77652484,0.20809051
29,30,3368848459816,198,1033,0.924,0.031407032,0.9084717,0.16573684
35,31,3368848459816,35918,-133,0.90000004,-0.012876959,0.89966434,-0.020936824
7,0,3368848480000,217,-2500,0.94400007,0.03239522,0.85494107,-0.39895168
21,1,3368848480000,35657,-100,0.8880001,-0.05312055,0.8862743,-0.015497738
44,2,3368848482304,217,-166,1.008,0.038151354,1.006851,-0.02932326
8,3,3368848482304,35937,-1563,0.95600003,-0.010122519,0.9205527,-0.25771406
16,4,3368848484608,217,-1131,0.832,0.030891556,0.8152579,-0.1631696
24,5,3368848484608,35937,0,0.8880001,-0.009763977,0.8879464,0
66,6,3368848486912,497,-66,0.90800005,0.07865846,0.90452486,-0.010570104
7,7,3368848486912,35937,-884,0.98,-0.010647473,0.96829253,-0.15065292
19,8,3368848489216,217,-725,0.84000003,0.03155168,0.8326792,-0.10606531
50,9,3368848489216,35657,33,0.88000005,-0.052649118,0.8784088,0.0051144846
54,10,3368848491520,217,-33,0.94400007,0.03574357,0.9433072,-0.005486447
8,11,3368848491520,35937,-614,1,-0.0109322285,0.9941885,-0.107097045
33,12,3368848493824,497,-533,0.84800005,0.07314773,0.8411549,-0.07881658
26,13,3368848493824,35937,133,0.88000005,-0.009673394,0.87970877,0.020471562
68,14,3368848496128,497,66,0.96800005,0.08385615,0.9642952,0.011268569
63,15,3368848496128,35937,-400,1,-0.010968684,0.99750376,-0.06975647
12,16,3368848498432,217,-466,0.92,0.03471992,0.91629213,-0.07485532
35,17,3368848498432,35657,166,0.84800005,-0.05071399,0.8461227,0.024668775
82,18,3368848500736,217,100,0.94000006,0.035587292,0.93918294,0.016405262
31,19,3368848500736,35657,-366,1.092,-0.065200105,1.0878121,-0.06984164
38,20,3368848503040,497,-333,0.84000003,0.07264957,0.8354263,-0.048836783
71,21,3368848503040,35937,333,0.93200004,-0.0102304425,0.93036735,0.054185573
84,22,3368848505344,217,233,0.9480001,0.03586588,0.94653505,0.038590502
89,23,3368848505344,35937,-266,1.0320001,-0.011335033,1.0308199,-0.04802012
70,24,3368848507648,217,-300,0.98,0.037056442,0.97795516,-0.05128924
22,25,3368848507648,35937,700,0.82000005,-0.008949079,0.8138387,0.09993287
33,26,3368848509952,217,466,0.924,0.03487088,0.92027605,0.07518078
17,27,3368848509952,35657,-233,0.91200006,-0.054519325,0.90961176,-0.03712504
36,28,3368848512256,497,-200,0.836,0.07238201,0.8323495,-0.02917598
80,29,3368848512256,35937,1500,0.804,-0.008539128,0.77655745,0.20809051
25,30,3368848514560,217,1033,0.92800003,0.034568463,0.9122949,0.16645432
33,31,3368848514560,35937,-133,0.90400004,-0.009937214,0.9037008,-0.021029878
5,0,3368848535296,237,-2500,0.96800005,0.036278803,0.87655556,-0.4090945
21,1,3368848535296,35677,-100,0.88000005,-0.04957563,0.8784683,-0.015358118
44,2,3368848537600,237,-166,1.0040001,0.04150035,1.0027168,-0.0292069
9,3,3368848537600,35957,-1563,0.95600003,-0.006909323,0.92058235,-0.25771406
16,4,3368848539904,237,-1131,0.836,0.03389935,0.8190641,-0.16395406
27,5,3368848539904,35957,0,0.8880001,-0.006664593,0.88797504,0
66,6,3368848542208,517,-66,0.892,0.080373675,0.88831097,-0.010383846
9,7,3368848542208,35957,-884,0.90000004,-0.006674364,0.8892769,-0.13835472
19,8,3368848544512,237,-725,0.84000003,0.034458082,0.832564,-0.10606531
44,9,3368848544512,35677,33,0.88000005,-0.049582344,0.87858725,0.0051144846
50,10,3368848546816,237,-33,0.94000006,0.038870703,0.93918014,-0.005463199
9,11,3368848546816,35957,-614,0.99200004,-0.00740231,0.9862668,-0.10624027
23,12,3368848549120,517,-533,0.85600007,0.07680123,0.84882736,-0.07956013
27,13,3368848549120,35957,133,0.87600005,-0.0065727513,0.8757383,0.02037851
54,14,3368848551424,517,66,0.96400005,0.08686124,0.9600132,0.011222005
64,15,3368848551424,35957,-400,0.99200004,-0.007426995,0.9895557,-0.06919842
12,16,3368848553728,237,-466,0.892,0.036764137,0.88828206,-0.07257711
42,17,3368848553728,35677,166,0.86800003,-0.048886348,0.8662543,0.025250586
82,18,3368848556032,237,100,0.94000006,0.03886544,0.93905294,0.016405262
47,19,3368848556032,35677,-366,1.072,-0.060277663,1.0681057,-0.068562485
38,20,3368848558336,517,-333,0.82800007,0.07448581,0.82323664,-0.048139114
60,21,3368848558336,35957,333,0.92,-0.0068930783,0.91841793,0.0534879
69,22,3368848560640,237,233,0.9480001,0.039169688,0.9464041,0.038590502
87,23,3368848560640,35957,-266,1.016,-0.007616996,1.014871,-0.04727562
70,24,3368848562944,237,-300,0.98,0.04046992,0.9778198,-0.05128924
19,25,3368848562944,35957,700,0.82800007,-0.0061679618,0.82180506,0.100907825
42,26,3368848565248,237,466,0.94000006,0.03874248,0.93608207,0.07648261
18,27,3368848565248,35677,-233,0.91200006,-0.051343616,0.90979654,-0.03712504
36,28,3368848567552,517,-200,0.836,0.07528701,0.83209175,-0.02917598
74,29,3368848567552,35957,1500,0.808,-0.005857547,0.7804461,0.2091258
100,30,3368848569856,237,1033,0.92800003,0.037752755,0.9121687,0.16645432
35,31,3368848569856,35957,-133,0.896,-0.006722814,0.8957323,-0.020843772
5,0,3368848590592,257,-2500,0.96400005,0.039175775,0.87280196,-0.40740404
21,1,3368848590592,35697,-100,0.87600005,-0.046297263,0.8746422,-0.015288308
42,2,3368848592896,257,-166,0.99600005,0.044641662,0.99457717,-0.028974174
9,3,3368848592896,35977,-1563,0.94400007,-0.0036492152,0.9090452,-0.25447917
20,4,3368848595200,257,-1131,0.84000003,0.03693409,0.8228591,-0.16473854
28,5,3368848595200,35977,0,0.8880001,-0.0035647042,0.8879929,0
66,6,3368848597504,537,-66,0.88400006,0.082725324,0.8800607,-0.010290719
14,7,3368848597504,35977,-884,0.86800003,-0.0034429997,0.85767543,-0.13343544
22,8,3368848599808,257,-725,0.836,0.03718614,0.8284746,-0.105560236
38,9,3368848599808,35697,33,0.8880001,-0.04693783,0.88674366,0.00516098
42,10,3368848602112,257,-33,0.952,0.042686887,0.95102644,-0.0055329422
9,11,3368848602112,35977,-614,0.98800004,-0.0039433236,0.9823097,-0.10581189
28,12,3368848604416,537,-533,0.84800005,0.079018265,0.8406237,-0.07881658
28,13,3368848604416,35977,133,0.87200004,-0.003499528,0.87175703,0.020285457
40,14,3368848606720,537,66,0.96000004,0.08983745,0.9557219,0.011175441
74,15,3368848606720,35977,-400,1.008,-0.0040365644,1.0055366,-0.07031453
17,16,3368848609024,257,-466,0.87600005,0.03914954,0.8722175,-0.07127529
60,17,3368848609024,35697,166,0.90000004,-0.047552794,0.89836144,0.026181482
75,18,3368848611328,257,100,0.94400007,0.042322442,0.9429069,0.016475072
63,19,3368848611328,35697,-366,1.072,-0.056548625,1.0683097,-0.068562485
38,20,3368848613632,537,-333,0.836,0.0781064,0.830923,-0.048604224
38,21,3368848613632,35977,333,0.91200006,-0.0036548546,0.91045004,0.05302279
69,22,3368848615936,257,233,0.94400007,0.042293806,0.9422689,0.038427673
89,23,3368848615936,35977,-266,1.0040001,-0.0040259985,1.0029045,-0.04671725
60,24,3368848618240,257,-300,0.9760001,0.04370379,0.97368217,-0.0510799
19,25,3368848618240,35977,700,0.832,-0.0033150075,0.8257918,0.1013953
85,26,3368848620544,257,466,0,0,0,0
18,27,3368848620544,35697,-233,0.91200006,-0.048167277,0.9099702,-0.03712504
36,28,3368848622848,537,-200,0.84000003,0.07856521,0.8358039,-0.029315578
81,29,3368848622848,35977,1500,0.78400004,-0.0030399775,0.7572798,0.20291413
92,30,3368848625152,257,1033,0.92,0.04058369,0.904169,0.16501936
33,31,3368848625152,35977,-133,0.90400004,-0.003627951,0.90374815,-0.021029878
5,0,3368848645888,278,-2500,0.96800005,0.042550318,0.8762735,-0.4090945
18,1,3368848645888,35718,-100,0.88000005,-0.043288186,0.8788006,-0.015358118
39,2,3368848648192,278,-166,1,0.04848059,0.9984004,-0.029090535
9,3,3368848648192,35998,-1563,0.93200004,-0.0003135376,0.8974967,-0.25124425
22,4,3368848650496,278,-1131,0.836,0.03975953,0.8188005,-0.16395406
27,5,3368848650496,35998,0,0.8880001,-0.00031021997,0.888,0
66,6,3368848652800,558,-66,0.87600005,0.08517253,0.87179,-0.010197589
24,7,3368848652800,35998,-884,0.864,-0.0002982478,0.85372984,-0.13282053
22,8,3368848655104,278,-725,0.84800005,0.040799756,0.8402227,-0.10707546
38,9,3368848655104,35718,33,0.8880001,-0.04368763,0.8869098,0.00516098
46,10,3368848657408,278,-33,0.96400005,0.04675429,0.96284926,-0.0056026853
11,11,3368848657408,35998,-614,0.98,-0.0003403908,0.97436357,-0.10495511
28,12,3368848659712,558,-533,0.85600007,0.0828733,0.8482561,-0.07956013
27,13,3368848659712,35998,133,0.88400006,-0.00030873902,0.8837608,0.020564616
40,14,3368848662016,558,66,0.93200004,0.090617344,0.9275208,0.01084949
87,15,3368848662016,35998,-400,0.99200004,-0.00034570784,0.98958355,-0.06919842
17,16,3368848664320,278,-466,0.84800005,0.04099258,0.84419376,-0.06899708
79,17,3368848664320,35718,166,0.91600007,-0.045046855,0.91450363,0.026646933
75,18,3368848666624,278,100,0.94400007,0.045778085,0.9427455,0.016475072
63,19,3368848666624,35718,-366,1.064,-0.052240144,1.0605357,-0.068050824
38,20,3368848668928,558,-333,0.84800005,0.08231623,0.84255415,-0.049301893
30,21,3368848668928,35998,333,0.88400006,-0.0003083002,0.8825047,0.0513949
66,22,3368848671232,278,233,0.9480001,0.04594095,0.9460995,0.038590502
98,23,3368848671232,35998,-266,1.008,-0.00035176013,1.006908,-0.04690337
65,24,3368848673536,278,-300,0.96400005,0.046691,0.96154594,-0.050451867
15,25,3368848673536,35998,700,0.832,-0.00028849,0.82579833,0.1013953
28,26,3368848675840,278,466,0.96000004,0.046406697,0.95569104,0.0781099
17,27,3368848675840,35718,-233,0.92,-0.045225203,0.91812426,-0.037450697
36,28,3368848678144,558,-200,0.84400004,0.082016766,0.839489,-0.029455176
74,29,3368848678144,35998,1500,0.79200006,-0.00026725492,0.7650132,0.2049847
92,30,3368848680448,278,1033,0.92,0.043897357,0.90401417,0.16501936
27,31,3368848680448,35998,-133,0.90800005,-0.00031712107,0.9077543,-0.02112293
5,0,3368848701184,297,-2500,0.97200006,0.045643747,0.8797479,-0.410785
18,1,3368848701184,35737,-100,0.8880001,-0.04074053,0.88692963,-0.015497738
100,2,3368848703488,297,-166,0.99200004,0.051376812,0.9902484,-0.028857812
8,3,3368848703488,17,-1563,0.91600007,0.0026172074,0.88208526,-0.24693105
24,4,3368848705792,297,-1131,0.84000003,0.042677782,0.82258123,-0.16473854
27,5,3368848705792,17,0,0.8880001,0.0026347453,0.88799614,0
66,6,3368848708096,577,-66,0.892,0.08967147,0.88742054,-0.010383846
25,7,3368848708096,17,-884,0.84400004,0.0024744282,0.83396393,-0.12974598
19,8,3368848710400,297,-725,0.84000003,0.043174624,0.8321575,-0.10606531
37,9,3368848710400,35737,33,0.88400006,-0.04056251,0.883054,0.0051377323
54,10,3368848712704,297,-33,0.9760001,0.050568704,0.9746727,-0.0056724283
13,11,3368848712704,17,-614,0.984,0.002902791,0.97833633,-0.10538349
28,12,3368848715008,577,-533,0.85600007,0.08568576,0.84797657,-0.07956013
27,13,3368848715008,17,133,0.88400006,0.0026221676,0.883757,0.020564616
27,14,3368848717312,577,66,0.90400004,0.090877816,0.8993589,0.01052354
100,15,3368848717312,17,-400,0.99600005,0.0029479887,0.99356943,-0.06947745
17,16,3368848719616,297,-466,0.84400004,0.04358524,0.84007186,-0.06867162
96,17,3368848719616,35737,166,0,-0,0,0
75,18,3368848721920,297,100,0.96000004,0.04973297,0.9585646,0.01675431
45,19,3368848721920,35737,-366,1.0680001,-0.04890588,1.0646908,-0.06830666
38,20,3368848724224,577,-333,0.84800005,0.085109785,0.8422765,-0.049301893
30,21,3368848724224,17,333,0.88400006,0.0026184404,0.8825009,0.0513949
63,22,3368848726528,297,233,0.952,0.049285155,0.94993323,0.03875333
100,23,3368848726528,17,-266,1.0040001,0.0029756974,1.0029082,-0.04671725
52,24,3368848728832,297,-300,0.97200006,0.05029328,0.96936417,-0.050870556
16,25,3368848728832,17,700,0.84000003,0.0024737492,0.8337351,0.102370255
100,26,3368848731136,297,466,0.96000004,0.049575627,0.9555319,0.0781099
17,27,3368848731136,35737,-233,0.91600007,-0.041996706,0.9142768,-0.03728787
36,28,3368848733440,577,-200,0.84800005,0.08520205,0.84318966,-0.029594773
88,29,3368848733440,17,1500,0.78400004,0.0022469093,0.75728256,0.20291413
92,30,3368848735744,297,1033,0.90800005,0.046283264,0.89207417,0.16286694
27,31,3368848735744,17,-133,0.896,0.0026577623,0.8957536,-0.020843772
5,0,3368848756480,317,-2500,0.95600003,0.047912475,0.86510444,-0.40402308
21,1,3368848756480,35757,-100,0.88400006,-0.037475355,0.8830706,-0.0154279275
100,2,3368848758784,317,-166,0.99200004,0.05483311,0.99006295,-0.028857812
8,3,3368848758784,37,-1563,0.91600007,0.0056962436,0.8820707,-0.24693105
22,4,3368848761088,317,-1131,0.836,0.045331962,0.8185109,-0.16395406
27,5,3368848761088,37,0,0.892,0.0057602446,0.8919814,0
66,6,3368848763392,597,-66,0.86800003,0.09027258,0.8632339,-0.010104461
23,7,3368848763392,37,-884,0.84400004,0.0053854906,0.8339502,-0.12974598
19,8,3368848765696,317,-725,0.836,0.045859706,0.82803977,-0.105560236
38,9,3368848765696,35757,33,0.87200004,-0.036971647,0.87120116,0.005067989
58,10,3368848768000,317,-33,0.98,0.054191824,0.978484,-0.0056956755
11,11,3368848768000,37,-614,0.97200006,0.006240758,0.96638954,-0.104098335
23,12,3368848770304,597,-533,0.85600007,0.08864523,0.84767234,-0.07956013
27,13,3368848770304,37,133,0.88400006,0.005707039,0.88374245,0.020564616
40,14,3368848772608,597,66,0.892,0.092768595,0.8871022,0.010383846
100,15,3368848772608,37,-400,0.98800004,0.00636464,0.98557276,-0.0689194
34,16,3368848774912,317,-466,0,0,0,-0
98,17,3368848774912,35757,166,0.90400004,-0.038312834,0.9028049,0.026297845
75,18,3368848777216,317,100,0.96400005,0.053299844,0.9623784,0.01682412
33,19,3368848777216,35757,-366,1.0600001,-0.044851344,1.0568786,-0.067795
38,20,3368848779520,597,-333,0.84400004,0.08763403,0.8380027,-0.049069338
30,21,3368848779520,37,333,0.88000005,0.0056731403,0.8784932,0.051162343
63,22,3368848781824,317,233,0.952,0.052600738,0.94975543,0.03875333
100,23,3368848781824,37,-266,0.99200004,0.0063990736,0.99090487,-0.046158876
39,24,3368848784128,317,-300,0.96000004,0.05301401,0.95721745,-0.05024252
16,25,3368848784128,37,700,0.85200006,0.0054609273,0.8456317,0.10383269
100,26,3368848786432,317,466,0.96000004,0.052910753,0.955353,0.0781099
17,27,3368848786432,35757,-233,0.924,-0.03914457,0.92240393,-0.037613526
36,28,3368848788736,597,-200,0.84400004,0.08772904,0.83891124,-0.029455176
54,29,3368848788736,37,1500,0.8,0.004990107,0.77272457,0.20705524
82,30,3368848791040,317,1033,0.90400004,0.049179293,0.887978,0.16214946
27,31,3368848791040,37,-133,0.91600007,0.0059136283,0.91573304,-0.021309035
7,0,3368848811776,338,-2500,0.96800005,0.051724132,0.8757799,-0.4090945
21,1,3368848811776,35778,-100,0.88000005,-0.034082923,0.8792057,-0.015358118
100,2,3368848814080,338,-166,0.98,0.057754308,0.9778813,-0.028508725
8,3,3368848814080,58,-1563,0.91200006,0.008890163,0.8781922,-0.24585274
19,4,3368848816384,338,-1131,0.836,0.04833165,0.8183393,-0.16395406
24,5,3368848816384,58,0,0.896,0.009069972,0.8959541,0
66,6,3368848818688,618,-66,0.864,0.09300531,0.8589208,-0.010057896
15,7,3368848818688,58,-884,0.84400004,0.008442034,0.8339249,-0.12974598
19,8,3368848820992,338,-725,0.836,0.048894316,0.82786614,-0.105560236
39,9,3368848820992,35778,33,0.87600005,-0.033932593,0.8753278,0.005091237
54,10,3368848823296,338,-33,0.96800005,0.057070304,0.9662999,-0.005625933
11,11,3368848823296,58,-614,0.96000004,0.009661935,0.95442975,-0.10281317
23,12,3368848825600,618,-533,0.86,0.092180245,0.8513012,-0.0799319
26,13,3368848825600,58,133,0.88400006,0.008946078,0.88371557,0.020564616
54,14,3368848827904,618,66,0.87200004,0.09386647,0.8668738,0.010151025
90,15,3368848827904,58,-400,0.9760001,0.009855725,0.97357273,-0.06808232
29,16,3368848830208,338,-466,0.85200006,0.0500656,0.8476981,-0.069322534
68,17,3368848830208,35778,166,0.892,-0.034538325,0.89095336,0.025948757
82,18,3368848832512,338,100,0.95600003,0.056355186,0.9541917,0.0166845
31,19,3368848832512,35778,-366,1.052,-0.040667355,1.0490582,-0.06728334
38,20,3368848834816,618,-333,0.85200006,0.09156464,0.8456159,-0.04953445
27,21,3368848834816,58,333,0.88000005,0.008892939,0.8784664,0.051162343
63,22,3368848837120,338,233,0.95600003,0.056317054,0.95354605,0.03891616
100,23,3368848837120,58,-266,1,0.0101117715,0.99886566,-0.046531122
21,24,3368848839424,338,-300,0.93200004,0.054873474,0.9291038,-0.048777115
20,25,3368848839424,58,700,0.86800003,0.0087210415,0.8614859,0.1057826
30,26,3368848841728,338,466,0.97200006,0.057117093,0.96709216,0.079086274
16,27,3368848841728,35778,-233,0.92800003,-0.035917666,0.9265349,-0.037776355
36,28,3368848844032,618,-200,0.84000003,0.09037287,0.83460975,-0.029315578
40,29,3368848844032,58,1500,0.804,0.007861361,0.77656454,0.20809051
51,30,3368848846336,338,1033,0.91200006,0.05289758,0.8956484,0.16358443
27,31,3368848846336,58,-133,0.90800005,0.0091889575,0.9077078,-0.02112293
7,0,3368848867072,357,-2500,0.96800005,0.05462804,0.87560356,-0.4090945
21,1,3368848867072,35797,-100,0.87600005,-0.031025687,0.875317,-0.015288308
91,2,3368848869376,357,-166,0.98,0.060996763,0.9776844,-0.028508725
8,3,3368848869376,77,-1563,0.91600007,0.01185407,0.8820095,-0.24693105
17,4,3368848871680,357,-1131,0.84000003,0.051289335,0.8220892,-0.16473854
24,5,3368848871680,77,0,0.90800005,0.012202278,0.90791804,0
66,6,3368848873984,637,-66,0.88400006,0.0980719,0.8784828,-0.010290719
12,7,3368848873984,77,-884,0.832,0.011048037,0.8220361,-0.12790124
