intensity,channel,timestamp,azimuth,altitude,distance_m,x,y,z
6,0,3369248602000,255,-2500,1.1960001,0.04822598,1.0828708,-0.5054515
40,1,3369248602000,35695,-100,1.2360001,-0.06575487,1.2340612,-0.021571174
45,2,3369248604304,255,-166,1.2160001,0.054078408,1.2142819,-0.035374094
8,3,3369248604304,35975,-1563,1.1680001,-0.0049077193,1.1247492,-0.31486404
8,4,3369248606608,255,-1131,1.1800001,0.0514801,1.1559392,-0.23141842
31,5,3369248606608,35975,0,1.2,-0.005236018,1.1999886,0
12,6,3369248608912,535,-66,1.284,0.11971138,1.27832,-0.014947152
9,7,3369248608912,35975,-884,1.2,-0.0051737786,1.1857246,-0.18447295
16,8,3369248611216,255,-725,1.2040001,0.053138666,1.1931808,-0.15202695
79,9,3369248611216,35695,33,1.264,-0.06725357,1.2621882,0.0073462594
49,10,3369248613520,255,-33,1.12,0.049829308,1.1188722,-0.0065093436
13,11,3369248613520,35975,-614,1.2,-0.005205903,1.193087,-0.12851647
7,12,3369248615824,535,-533,1.248,0.11585917,1.2371848,-0.1159942
43,13,3369248615824,35975,133,1.108,-0.004833282,1.1076896,0.025775557
13,14,3369248618128,535,66,1.2440001,0.11598206,1.238497,0.014481508
11,15,3369248618128,35975,-400,1.2360001,-0.005379962,1.2329775,-0.086219005
17,16,3369248620432,255,-466,1.2040001,0.053389806,1.1988199,-0.097962834
48,17,3369248620432,35695,166,1.2040001,-0.064035125,1.2017858,0.035025008
47,18,3369248622736,255,100,1.1520001,0.051246062,1.150684,0.020105172
6,19,3369248622736,35695,-366,1.268,-0.06732941,1.2636114,-0.08109816
90,20,3369248625040,535,-333,1.228,0.11430441,1.2205824,-0.07139472
35,21,3369248625040,35975,333,1.108,-0.004826412,1.1061153,0.06441804
46,22,3369248627344,255,233,1.108,0.049255393,1.1059854,0.045103665
97,23,3369248627344,35975,-266,1.2,-0.0052303467,1.1986889,-0.055837348
74,24,3369248629648,255,-300,1.248,0.055448923,1.2450556,-0.06531528
52,25,3369248629648,35975,700,1.248,-0.005404869,1.2386858,0.15209295
72,26,3369248631952,255,466,1.1240001,0.04984231,1.119164,0.09145368
45,27,3369248631952,35695,-233,1.2600001,-0.06698631,1.2571723,-0.051291175
80,28,3369248634256,535,-200,1.2440001,0.11591926,1.2378263,-0.043414976
77,29,3369248634256,35975,1500,1.22,-0.005141898,1.1784183,0.31575924
80,30,3369248636560,255,1033,1.32,0.057775922,1.2973062,0.23676692
42,31,3369248636560,35975,-133,1.184,-0.0051648063,1.1836683,-0.027543556
6,0,3369248657296,273,-2500,1.192,0.05145501,1.0790929,-0.503761
42,1,3369248657296,35713,-100,1.2240001,-0.06127653,1.2222786,-0.021361746
51,2,3369248659600,273,-166,1.2240001,0.058273792,1.2220936,-0.035606816
8,3,3369248659600,35993,-1563,1.1680001,-0.0013744099,1.1247591,-0.31486404
8,4,3369248661904,273,-1131,1.176,0.054924514,1.1518538,-0.23063394
16,5,3369248661904,35993,0,1.1400001,-0.0013930327,1.1399993,0
11,6,3369248664208,553,-66,1.276,0.122955866,1.2699753,-0.014854022
9,7,3369248664208,35993,-884,1.1960001,-0.0014440904,1.1817826,-0.18385805
16,8,3369248666512,273,-725,1.2040001,0.05688689,1.193008,-0.15202695
78,9,3369248666512,35713,33,1.256,-0.06288704,1.2544035,0.007299764
45,10,3369248668816,273,-33,1.108,0.05277255,1.1067238,-0.0064396006
13,11,3369248668816,35993,-614,1.1960001,-0.0014530569,1.1891204,-0.12808807
7,12,3369248671120,553,-533,1.2520001,0.12012913,1.2407789,-0.116365984
33,13,3369248671120,35993,133,1.144,-0.0013975422,1.1436896,0.02661303
14,14,3369248673424,553,66,1.2520001,0.12064321,1.2460886,0.014574638
11,15,3369248673424,35993,-400,1.2320001,-0.0015017857,1.2289981,-0.08593998
17,16,3369248675728,273,-466,1.2040001,0.05715574,1.1986462,-0.097962834
53,17,3369248675728,35713,166,1.2040001,-0.060258955,1.2019811,0.035025008
50,18,3369248678032,273,100,1.0960001,0.052193943,1.0945895,0.019127838
6,19,3369248678032,35713,-366,1.268,-0.06335896,1.2638167,-0.08109816
82,20,3369248680336,553,-333,1.2320001,0.11852324,1.224192,-0.07162728
45,21,3369248680336,35993,333,1.116,-0.001361399,1.1141115,0.06488315
55,22,3369248682640,273,233,1.108,0.052729703,1.1058252,0.045103665
78,23,3369248682640,35993,-266,1.1880001,-0.0014501144,1.1867124,-0.055278976
63,24,3369248684944,273,-300,1.22,0.058028307,1.2169453,-0.063849874
63,25,3369248684944,35993,700,1.256,-0.0015233398,1.246637,0.1530679
63,26,3369248687248,273,466,1.12,0.053168125,1.1150196,0.091128215
42,27,3369248687248,35713,-233,1.256,-0.062835984,1.2533848,-0.051128343
74,28,3369248689552,553,-200,1.2440001,0.11980743,1.2374561,-0.043414976
77,29,3369248689552,35993,1500,1.22,-0.0014399919,1.1784285,0.31575924
99,30,3369248691856,273,1033,1.304,0.06110153,1.2813957,0.23389702
47,31,3369248691856,35993,-133,1.092,-0.0013340175,1.0917037,-0.025403347
6,0,3369248712592,294,-2500,1.184,0.055037852,1.071656,-0.50038004
43,1,3369248712592,35734,-100,1.228,-0.056981537,1.22649,-0.021431556
52,2,3369248714896,294,-166,1.2320001,0.063162744,1.2298578,-0.035839543
8,3,3369248714896,14,-1563,1.164,0.002738892,1.1209046,-0.31378573
8,4,3369248717200,294,-1131,1.176,0.059145898,1.1516448,-0.23063394
25,5,3369248717200,14,0,1.0960001,0.0026780309,1.0959969,0
10,6,3369248719504,574,-66,1.2800001,0.12800975,1.2734958,-0.0149005875
9,7,3369248719504,14,-884,1.1960001,0.0028876392,1.18178,-0.18385805
13,8,3369248721808,294,-725,1.2040001,0.061259095,1.1927915,-0.15202695
99,9,3369248721808,35734,33,1.248,-0.057917416,1.2466342,0.0072532687
43,10,3369248724112,294,-33,1.1520001,0.059085272,1.1504644,-0.006695325
13,11,3369248724112,14,-614,1.1960001,0.0029055688,1.1891178,-0.12808807
7,12,3369248726416,574,-533,1.256,0.12507433,1.244293,-0.11673775
28,13,3369248726416,14,133,1.2,0.0029313571,1.1996717,0.027915766
14,14,3369248728720,574,66,1.2440001,0.12440949,1.2376788,0.014481508
13,15,3369248728720,14,-400,1.22,0.0029737581,1.2170247,-0.08510289
17,16,3369248731024,294,-466,1.2040001,0.061548613,1.1984288,-0.097962834
51,17,3369248731024,35734,166,1.2040001,-0.05585276,1.2021939,0.035025008
43,18,3369248733328,294,100,1.0960001,0.056205463,1.0943909,0.019127838
6,19,3369248733328,35734,-366,1.264,-0.05854084,1.260053,-0.08084234
65,20,3369248735632,574,-333,1.2520001,0.12500623,1.2436154,-0.072790064
67,21,3369248735632,14,333,1.116,0.0027222876,1.114109,0.06488315
55,22,3369248737936,294,233,1.12,0.05739737,1.1175988,0.04559215
79,23,3369248737936,14,-266,1.1880001,0.002899685,1.1867098,-0.055278976
63,24,3369248740240,294,-300,1.22,0.06248824,1.2167244,-0.063849874
77,25,3369248740240,14,700,1.2600001,0.0030558095,1.2506045,0.1535554
55,26,3369248742544,294,466,1.1320001,0.057867967,1.1267619,0.09210459
40,27,3369248742544,35734,-233,1.2520001,-0.058055874,1.2496145,-0.050965518
74,28,3369248744848,574,-200,1.2520001,0.12514175,1.2449636,-0.043694172
73,29,3369248744848,14,1500,1.212,0.0028605622,1.1706986,0.3136887
93,30,3369248747152,294,1033,1.3080001,0.0659995,1.2850932,0.23461449
47,31,3369248747152,14,-133,1.0960001,0.002677306,1.0957003,-0.0254964
6,0,3369248767888,313,-2500,1.184,0.058591288,1.0714676,-0.50038004
